Artist,Artist ID,Album,Album ID
Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,Punisher,6Pp6qGEywDdofgFC1oFbSH
Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,Stranger in the Alps,0qWcLfCZ8wtcoOdX14oGNI
Phoneboy,5vh3TBzvI4nASt2A1KfgcR,Moving Out,7HDc3SiSRD6eBnRg4CyMXy
Saint Motel,1dWEYMPtNmvSVaDNLgB6NV,The Original Motion Picture Soundtrack,5aAfgCIEc9zBKbwFO6jixe
Saint Motel,1dWEYMPtNmvSVaDNLgB6NV,Voyeur,24nqMCIROq1MULNqjzeglz
San Cisco,0Ou0138wEd8XWebhc4j7O0,Between You and Me,1XfQvI4O6sa9hubCluvYmE
San Cisco,0Ou0138wEd8XWebhc4j7O0,Gracetown,7riWCObVABEWcZwSZWTEaZ
Smallpools,4iiQabGKtS2RtTKpVkrVTw,Cameras & Coastlines & Covers,6ZtKR60dShWzLpcyKMj7xu
Smallpools,4iiQabGKtS2RtTKpVkrVTw,LIFE IN A SIMULATION,2c6v5CCrPsVVSHfEwOVTRT
Smallpools,4iiQabGKtS2RtTKpVkrVTw,LOVETAP!,59xqFRG2IgFTsZtQ73yIp6
Soccer Mommy,4wXchxfTTggLtzkoUhO86Q,"Sometimes, Forever",3VXLdJpzeaAyX9Tbm0i0zn
The Academic,3VLf4DlBTN2ZRwygS3TNti,Sitting Pretty,7zMPk5h5WVOP2lr7vhlQPu
The Regrettes,67WNUxmM7y4WzHPAVzBu3E,Further Joy,1rM5i5ofhPY3hdPA5wcozJ
The Regrettes,67WNUxmM7y4WzHPAVzBu3E,How Do You Love?,0uIC8BxmLHZLpQX81ZqQE0
The Regrettes,67WNUxmM7y4WzHPAVzBu3E,Feel Your Feelings Fool!,3AWvlkLV6Wmys6G85zwz98
The Wrecks,458aS6ALc3QkzwfR5USt34,Sonder,4cKYUcPZBniJthOcf89r20
The Wrecks,458aS6ALc3QkzwfR5USt34,Infinitely Ordinary,74IXMUg7W8OvCjdTeCTtLx
Vistas,5YA1c6yVkPnflTLMfOgjzc,What Were You Hoping to Find?,3Q5bDksRVfWytZluEMWajp
Vistas,5YA1c6yVkPnflTLMfOgjzc,Everything Changes in the End,5ENziEEwfQaUvK6WbLkCzk
Wallows,0NIPkIjTV8mB795yEIiPYL,Tell Me That It’s Over,5L6fAzbz2x5oF8l0qluSKm
